NAME,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,YEAR
Richard Jones,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,590,1962
Edwin Jarvis,No Dual Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Heterosexual Characters,Living Characters,567,1964
Alexander Summers,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,558,1969
Patricia Walker,Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Heterosexual Characters,Living Characters,550,1944
Human Torch,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,548,1939
Loki Laufeyson,No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Genderfluid Characters,Bisexual Characters,Living Characters,532,1949
Franklin Nelson,No Dual Identity,Good Characters,Blue Eyes,Bald,Male Characters,Heterosexual Characters,Living Characters,528,1964
Brian Braddock,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,528,1976
Otto Octavius,Secret Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,Heterosexual Characters,Deceased Characters,526,1963
James Rhodes,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,525,1979
Timothy Dugan,Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Heterosexual Characters,Deceased Characters,517,1963
Crystalia Amaquelin,Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,Heterosexual Characters,Living Characters,512,1965
Samuel Wilson,Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,512,1969
Wilson Fisk,Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Heterosexual Characters,Living Characters,503,1967
Odin Borson,Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,Heterosexual Characters,Living Characters,502,1962
Deadpool,Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,Transvestites,Living Characters,500,1991
Dane Whitman,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,478,1967
Harold Osborn,No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,474,1965
Franklin Richards,No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,473,1968
Jessica Drew,Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,Heterosexual Characters,Living Characters,471,1977
Roberto da Costa,Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,464,1982
Rahne Sinclair,Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual Characters,Living Characters,448,1982
Elizabeth Ross,Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,446,1962
Lorna Dane,Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,Heterosexual Characters,Living Characters,433,1968
Blaine Colt,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Deceased Characters,429,1948
Johnathon Blaze,Secret Identity,Good Characters,Blue Eyes,Reddish Blond Hair,Male Characters,Heterosexual Characters,Living Characters,426,1972
Sif,No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,422,1964
Red Hulk,Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,415,1962
Jubilation Lee,Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,408,1989
Volstagg,Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Heterosexual Characters,Living Characters,406,1965
Balder Odinson,Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual Characters,Deceased Characters,403,1962
Galactus,Secret Identity,Neutral Characters,Brown Eyes,No Hair,Male Characters,Heterosexual Characters,Living Characters,390,1966
Danielle Moonstar,Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,388,1982
Marc Spector,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,387,1975
Gwendolyne Stacy,No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Deceased Characters,384,1965
Medusalith Amaquelin,Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual Characters,Living Characters,382,1965
Sabretooth,Secret Identity,Bad Characters,Amber Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,382,1977
Illyana Rasputina,Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,380,1975
Johann Shmidt,Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Deceased Characters,376,1941
Fandral,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Deceased Characters,375,1965
Sean Cassidy,Secret Identity,Neutral Characters,Green Eyes,Strawberry Blond Hair,Male Characters,Heterosexual Characters,Living Characters,374,1967
Thomas Raymond,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,373,1940
Uatu,Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Heterosexual Characters,Deceased Characters,373,1963
Richard Rider,Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Deceased Characters,373,1976
Hogun,Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,371,1965
Raven Darkholme,Secret Identity,Bad Characters,Yellow Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,371,1978
Barbara Morse,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,368,1971
Blackagar Boltagon,No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,366,1965
Brunnhilde,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,361,1970
Alison Blaire,Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Heterosexual Characters,Living Characters,353,1980
Venom,Known to Authorities Identity,Neutral Characters,Variable Eyes,No Hair,Agender Characters,Heterosexual Characters,Living Characters,348,1984
John Walker,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,346,1986
Greer Grant,Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,342,1972
Karla Sofen,Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,340,1975
William Baker,Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,338,1963
Sharon Carter,Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,332,1966
Felicia Hardy,Public Identity,Bad Characters,,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,332,1979
Cain Marko,Public Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,Heterosexual Characters,Living Characters,329,1965
Monica Rambeau,Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,327,1982
Maria Hill,No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,325,2005
Ben Urich,No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,324,1978
Heather Douglas,Secret Identity,Good Characters,Blue Eyes,Bald,Female Characters,Bisexual Characters,Living Characters,323,1973
Millicent Collins,Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,321,1945
James Proudstar,Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,320,1984
Angelica Jones,Known to Authorities Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual Characters,Living Characters,319,1985
Edward Brock,Public Identity,Neutral Characters,Black Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,318,1986
MacDonald Gargan,Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,Heterosexual Characters,Living Characters,317,1964
Mephisto,No Dual Identity,Bad Characters,White Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,316,1968
Tabitha Smith,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,316,1985
Jean-Paul Beaubier,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Homosexual Characters,Living Characters,313,1979
Daniel Ketch,Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,311,1990
Neena Thurman,Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,310,1992
Wong,No Dual Identity,Good Characters,Brown Eyes,Bald,Male Characters,Heterosexual Characters,Living Characters,306,1963
Thanos,No Dual Identity,Bad Characters,Red Eyes,No Hair,Male Characters,Heterosexual Characters,Living Characters,306,1973
Shang-Chi,No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,296,1973
Alicia Masters,No Dual Identity,Good Characters,Brown Eyes,Strawberry Blond Hair,Female Characters,Heterosexual Characters,Living Characters,293,1962
Robert Baldwin,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,293,1988
Vance Astrovik,Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,290,1975
Wendell Vaughn,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,290,1978
Chili Storm,Public Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,Homosexual Characters,Living Characters,284,1948
Abner Jenkins,Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,284,1964
Elektra Natchios,Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,280,1981
Bullseye,Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,277,1976
Forge,Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,276,1984
Virginia Potts,No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual Characters,Living Characters,274,1963
Walter Langkowski,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,273,1979
Gorgon,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,272,1965
James Madrox,Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,271,1975
Heimdall,Secret Identity,Good Characters,Grey Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,270,1962
Theresa Cassidy,Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual Characters,Living Characters,267,1981
Laura Kinney,Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,265,2004
Arthur Douglas,Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,264,1973
Ben Reilly,Secret Identity,Good Characters,Hazel Eyes,Blond Hair,Male Characters,Heterosexual Characters,Deceased Characters,263,1975
Warlock,Secret Identity,Good Characters,Black Eyes,No Hair,Male Characters,Heterosexual Characters,Living Characters,261,1984
Kevin Plunder,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,260,1965
Leonard Samson,Public Identity,Good Characters,Brown Eyes,Green Hair,Male Characters,Heterosexual Characters,Deceased Characters,260,1971
Melissa Gold,Secret Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,260,1979
Lockheed,Secret Identity,Good Characters,Yellow Eyes,No Hair,Male Characters,Heterosexual Characters,Living Characters,260,1983
Mercedes Knight,Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,259,1972
Moira Kinross,No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Heterosexual Characters,Deceased Characters,259,1975
Karnak,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Characters,Deceased Characters,257,1965
Namorita Prentiss,Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Deceased Characters,257,1972
Lockjaw,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,255,1965
Adam Warlock,No Dual Identity,Good Characters,White Eyes,Gold Hair,Male Characters,Heterosexual Characters,Living Characters,252,1967
Heather McNeil,Public Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,Heterosexual Characters,Living Characters,252,1980
Curtis Connors,Public Identity,Neutral Characters,Red Eyes,No Hair,Male Characters,Heterosexual Characters,Living Characters,250,1963
Theodore Sallis,Secret Identity,Good Characters,Red Eyes,No Hair,Male Characters,Heterosexual Characters,Living Characters,249,1971
Adrian Toomes,Public Identity,Bad Characters,Hazel Eyes,Bald,Male Characters,Heterosexual Characters,Living Characters,248,1963
Amora,Public Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,247,1964
Clea,No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Heterosexual Characters,Living Characters,247,1964
Mar-Vell,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Deceased Characters,245,1967
Eugene Judd,Public Identity,Good Characters,Brown Eyes,Bald,Male Characters,Heterosexual Characters,Living Characters,245,1983
Daimon Hellstrom,No Dual Identity,Neutral Characters,Red Eyes,Red Hair,Male Characters,Heterosexual Characters,Living Characters,242,1973
John Jonah Jameson III,No Dual Identity,Good Characters,Brown Eyes,Auburn Hair,Male Characters,Heterosexual Characters,Living Characters,240,1963
Triton,No Dual Identity,Good Characters,Green Eyes,No Hair,Male Characters,Heterosexual Characters,Living Characters,240,1965
Meggan Puceanu,Secret Identity,Good Characters,Black Eyes,,Female Characters,Heterosexual Characters,Living Characters,240,1983
Robert Reynolds,Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,240,2000
Aleksei Sytsevich,Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Deceased Characters,239,1966
Santo Vaccarro,Secret Identity,Good Characters,White Eyes,No Hair,Male Characters,Heterosexual Characters,Living Characters,238,2003
Jonathan Clay,Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Homosexual Characters,Living Characters,237,1960
Ares,Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Deceased Characters,236,1949
Sersi,Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,236,1976
Guido Carosella,Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,Heterosexual Characters,Living Characters,236,1985
Zabu,Public Identity,Good Characters,Green Eyes,Orange Hair,Male Characters,Heterosexual Characters,Living Characters,234,1965
Michael Morbius,Secret Identity,Neutral Characters,Red Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,231,1971
Julio Richter,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Homosexual Characters,Living Characters,231,1987
Phoenix Force,Secret Identity,Neutral Characters,Red Eyes,No Hair,,Heterosexual Characters,Deceased Characters,229,1976
Megan Gwynn,Public Identity,Good Characters,Black Eyeballs,Pink Hair,Female Characters,Heterosexual Characters,Living Characters,229,2004
Kyle Richmond,Secret Identity,Good Characters,Brown Eyes,Auburn Hair,Male Characters,Heterosexual Characters,Living Characters,227,1969
Karen Page,No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Deceased Characters,226,1964
Tyrone Johnson,Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,226,1982
Maxwell Dillon,Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,Heterosexual Characters,Living Characters,225,1964
Valerie Cooper,Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,225,1983
Anna May,No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Heterosexual Characters,Living Characters,224,1964
Vlad Dracula,No Dual Identity,Bad Characters,Red Eyes,White Hair,Male Characters,Heterosexual Characters,Living Characters,223,1951
Tandy Bowen,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,222,1982
Monet St. Croix,No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,221,1994
Gamora,No Dual Identity,Neutral Characters,Yellow Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,218,1975
Amara Aquilla,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,217,1983
Julia Carpenter,Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Heterosexual Characters,Living Characters,212,1984
Jane Foster,No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Heterosexual Characters,Living Characters,211,1962
Mortimer Toynbee,Secret Identity,Neutral Characters,Black Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,210,1964
Scott Lang,Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Heterosexual Characters,Living Characters,209,1979
Paige Guthrie,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,207,1984
Benjamin Parker,No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual Characters,Deceased Characters,205,1962
Erik Josten,Secret Identity,Good Characters,Brown Eyes,Red Hair,Male Characters,Heterosexual Characters,Living Characters,204,1965
Jeanne-Marie Beaubier,Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,203,1979
Carl Creel,Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Heterosexual Characters,Living Characters,202,1964
Gloria Grant,No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,202,1975
Michael Twoyoungmen,Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,200,1979
Hope Summers,Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual Characters,Living Characters,200,2008
Eric Masterson,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Deceased Characters,198,1988
Alexander Power,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,197,1984
Matthew Hawk,Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual Characters,Deceased Characters,195,1962
Jessica Jones,No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Heterosexual Characters,Living Characters,195,1963
Frederick Dukes,Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,194,1964
Eric Brooks,Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,194,1973
Eros,Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Heterosexual Characters,Living Characters,193,1973
Madison Jeffries,No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,193,1983
Mandarin,Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Characters,Deceased Characters,190,1964
The Wizard,Public Identity,Bad Characters,Hazel Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,189,1962
Akihiro,Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Bisexual Characters,Living Characters,189,2006
Sergei Kravinoff,Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Characters,Deceased Characters,188,1964
Jonothon Starsmore,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,187,1994
Helmut Zemo,Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,184,1973
